phone,address,road_address,name,screen,region,screen_type
1544-1122,서울특별시 강동구 고덕동 353-23,"서울특별시 강동구 고덕비즈밸리로 51, 3,4층 (고덕동)",더스크린고덕강일,SCREENX관,서울,SCREENX
1544-1122,서울특별시 강동구 고덕동 353-23,"서울특별시 강동구 고덕비즈밸리로 51, 3,4층 (고덕동)",더스크린고덕강일,8관,서울,2D
1544-1122,서울특별시 강동구 고덕동 353-23,"서울특별시 강동구 고덕비즈밸리로 51, 3,4층 (고덕동)",더스크린고덕강일,2관,서울,2D
1544-1122,서울특별시 강동구 고덕동 353-23,"서울특별시 강동구 고덕비즈밸리로 51, 3,4층 (고덕동)",더스크린고덕강일,3관,서울,2D
1544-1122,서울특별시 강동구 고덕동 353-23,"서울특별시 강동구 고덕비즈밸리로 51, 3,4층 (고덕동)",더스크린고덕강일,4관,서울,2D
1544-1122,서울특별시 강동구 고덕동 353-23,"서울특별시 강동구 고덕비즈밸리로 51, 3,4층 (고덕동)",더스크린고덕강일,4DX관,서울,4DX
1544-1122,서울특별시 강동구 고덕동 353-23,"서울특별시 강동구 고덕비즈밸리로 51, 3,4층 (고덕동)",더스크린고덕강일,7관,서울,2D
1544-1122,서울특별시 강동구 고덕동 353-23,"서울특별시 강동구 고덕비즈밸리로 51, 3,4층 (고덕동)",더스크린고덕강일,5관,서울,2D
052-211-1117,울산광역시 중구 성남동 3-6,"울산광역시 중구 중앙길 145, 크레존 6층 (성남동)",더스크린 울산성남,7관,부산/대구/경상,2D
052-211-1117,울산광역시 중구 성남동 3-6,"울산광역시 중구 중앙길 145, 크레존 5층 (성남동)",더스크린 울산성남,6관,부산/대구/경상,2D
052-211-1117,울산광역시 중구 성남동 3-6,"울산광역시 중구 중앙길 145, 크레존 5층 (성남동)",더스크린 울산성남,5관,부산/대구/경상,2D
052-211-1117,울산광역시 중구 성남동 3-6,"울산광역시 중구 중앙길 145, 크레존 5층 (성남동)",더스크린 울산성남,4관,부산/대구/경상,2D
052-211-1117,울산광역시 중구 성남동 3-6,"울산광역시 중구 중앙길 145, 크레존 4층 (성남동)",더스크린 울산성남,3관,부산/대구/경상,2D
052-211-1117,울산광역시 중구 성남동 3-6,"울산광역시 중구 중앙길 145, 크레존 4층 (성남동)",더스크린 울산성남,2관,부산/대구/경상,2D
052-211-1117,울산광역시 중구 성남동 3-6,"울산광역시 중구 중앙길 145, 크레존 (성남동)",더스크린 울산성남,1관,부산/대구/경상,2D
,경기도 동두천시 생연동 364-1,경기도 동두천시 평화로 2346 (생연동),더스크린동두천,2관,경기,2D
,경기도 동두천시 생연동 364-1,경기도 동두천시 평화로 2346 (생연동),더스크린동두천,3관,경기,2D
,경기도 동두천시 생연동 364-1,경기도 동두천시 평화로 2346 (생연동),더스크린동두천,4관,경기,2D
,경기도 구리시 갈매동 552-4,"경기도 구리시 갈매순환로 180, 힐스테이트 갈매역 스칸센알토(B그룹) 문화 및 집회시설동 B1,B2층 (갈매동)",더스크린구리갈매,1관,경기,2D
,경기도 구리시 갈매동 552-4,"경기도 구리시 갈매순환로 180, 힐스테이트 갈매역 스칸센알토(B그룹) 문화 및 집회시설동 B1,B2층 (갈매동)",더스크린구리갈매,2관,경기,2D
,경기도 구리시 갈매동 552-4,"경기도 구리시 갈매순환로 180, 힐스테이트 갈매역 스칸센알토(B그룹) 문화 및 집회시설동 B1,B2층 (갈매동)",더스크린구리갈매,3관,경기,2D
,경기도 구리시 갈매동 552-4,"경기도 구리시 갈매순환로 180, 힐스테이트 갈매역 스칸센알토(B그룹) 문화 및 집회시설동 B1,B2층 (갈매동)",더스크린구리갈매,4관,경기,2D
,경기도 구리시 갈매동 552-4,"경기도 구리시 갈매순환로 180, 힐스테이트 갈매역 스칸센알토(B그룹) 문화 및 집회시설동 B1,B2층 (갈매동)",더스크린구리갈매,5관,경기,2D
,경기도 구리시 갈매동 552-4,"경기도 구리시 갈매순환로 180, 힐스테이트 갈매역 스칸센알토(B그룹) 문화 및 집회시설동 B1,B2층 (갈매동)",더스크린구리갈매,6관,경기,2D
,"경기도 화성시 송동 725-1 더샵 동탄센텀폴리스 1,2단지","경기도 화성시 동탄대로5길 9, 더샵 동탄센텀폴리스 1,2단지 5,6층 5064,5001,6001호 (송동)",더스크린 동탄그랑파사쥬,1관,경기,2D
,"경기도 화성시 송동 725-1 더샵 동탄센텀폴리스 1,2단지","경기도 화성시 동탄대로5길 9, 더샵 동탄센텀폴리스 1,2단지 5,6층 5064,5001,6001호 (송동)",더스크린 동탄그랑파사쥬,2관,경기,2D
